schema dungeon-v2-traversal-v1
player-movement-policy 9

goal crown west 3 solved
pair ap east east 0 solved
pair ap east east 1 solved
pair ap east east 2 solved
pair ap east east 3 solved
pair ap east west 0 solved
pair ap east west 1 solved
pair ap east west 2 solved
pair ap east west 3 solved
pair ap west east 0 solved
pair ap west east 1 solved
pair ap west east 2 solved
pair ap west east 3 solved
pair ap west west 0 solved
pair ap west west 1 solved
pair ap west west 2 solved
pair ap west west 3 solved
pair asl east east 0 solved
pair asl east east 1 solved
pair asl east east 2 solved
pair asl east east 3 solved
pair asl east west 0 inconclusive
pair asl east west 1 inconclusive
pair asl east west 2 inconclusive
pair asl east west 3 solved
pair asl west east 0 inconclusive
pair asl west east 1 inconclusive
pair asl west east 2 inconclusive
pair asl west east 3 solved
pair asl west west 0 solved
pair asl west west 1 solved
pair asl west west 2 solved
pair asl west west 3 solved
pair bv east east 0 solved
pair bv east east 1 solved
pair bv east east 2 solved
pair bv east east 3 solved
pair bv east floor 0 solved
pair bv east floor 1 solved
pair bv east floor 2 solved
pair bv east floor 3 solved
pair bv floor east 0 solved
pair bv floor east 1 solved
pair bv floor east 2 solved
pair bv floor east 3 solved
pair bv floor floor 0 solved
pair bv floor floor 1 solved
pair bv floor floor 2 solved
pair bv floor floor 3 solved
pair crown west west 0 solved
pair crown west west 1 solved
pair crown west west 2 solved
pair crown west west 3 solved
pair ga floor floor 0 solved
pair ga floor floor 1 solved
pair ga floor floor 2 solved
pair ga floor floor 3 solved
pair ga floor west 0 solved
pair ga floor west 1 solved
pair ga floor west 2 solved
pair ga floor west 3 solved
pair ga west floor 0 solved
pair ga west floor 1 solved
pair ga west floor 2 solved
pair ga west floor 3 solved
pair ga west west 0 solved
pair ga west west 1 solved
pair ga west west 2 solved
pair ga west west 3 solved
pair gb floor floor 0 solved
pair gb floor floor 1 solved
pair gb floor floor 2 solved
pair gb floor floor 3 solved
pair gb floor west 0 solved
pair gb floor west 1 solved
pair gb floor west 2 solved
